ESTU_GENERO,EDAD,ESTU_COMOCAPACITOEXAMENSB11,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_TIENECONSOLAVIDEOJUEGOS,MOD_RAZONA_CUANTITATIVO_PNAL,MOD_LECTURA_CRITICA_PNAL,MOD_COMPETEN_CIUDADA_PNAL,MOD_INGLES_PNAL,MOD_COMUNI_ESCRITA_PNAL,PUNT_GLOBAL,GRUPO
1,26,2,0,8,3,0,95,81,61,55,22.0,164,1
0,20,1,5,10,1,0,45,3,21,12,8.0,116,0
0,19,1,2,4,2,0,42,21,32,38,27.0,135,0
1,22,1,4,7,3,0,56,61,62,34,53.0,151,2
1,22,2,4,8,6,0,80,95,92,99,79.0,192,1
0,28,1,3,5,2,0,63,46,34,64,38.0,149,2
1,36,1,2,0,3,0,19,58,38,69,62.0,147,2
1,21,1,4,4,3,0,46,78,44,82,51.0,158,2
0,32,2,4,2,3,0,56,37,34,49,89.0,154,2
1,21,2,8,8,5,1,99,92,74,91,22.0,181,1
0,23,1,5,5,1,0,49,77,62,62,29.0,155,2
0,39,1,2,0,2,1,40,59,51,4,44.0,138,2
1,29,1,2,2,3,0,26,36,14,36,65.0,135,0
1,36,1,1,6,1,0,24,4,14,4,1.0,88,0
0,21,1,3,3,4,1,70,69,66,93,33.0,167,1
1,21,1,8,8,3,0,81,75,88,56,51.0,166,1
0,22,2,0,5,5,0,39,61,50,72,66.0,157,2
1,21,1,10,2,2,0,17,3,6,30,8.0,108,0
1,22,0,8,3,5,0,88,42,56,68,85.0,167,1
1,23,2,3,8,1,0,19,45,4,84,70.0,141,2
0,23,1,10,0,2,0,70,70,69,12,37.0,151,2
0,29,0,1,1,2,0,40,50,76,44,64.0,153,2
1,23,1,4,4,2,0,86,99,89,78,87.0,189,1
1,43,1,2,2,1,0,3,18,12,4,8.0,105,0
0,47,1,0,1,3,1,75,50,84,8,66.0,155,2
0,22,1,11,4,4,1,97,77,82,85,20.0,175,1
1,36,1,1,4,3,0,19,80,72,92,29.0,160,1
0,25,2,11,4,3,0,15,33,27,42,24.0,132,0
0,24,1,1,2,1,0,21,30,32,12,38.0,129,0
0,20,1,4,4,2,0,97,83,48,83,41.0,172,1
1,26,1,0,0,1,0,81,81,94,73,85.0,181,1
0,23,2,7,4,2,0,83,74,67,92,90.0,181,1
1,27,0,5,5,2,1,29,32,25,30,12.0,128,0
0,24,0,4,4,2,0,19,30,72,62,6.0,136,2
1,34,2,10,5,4,0,86,75,89,99,84.0,189,1
0,38,1,2,6,1,0,18,45,41,25,17.0,132,0
0,23,1,4,4,3,0,73,51,46,34,84.0,157,2
1,20,2,7,5,1,0,86,97,95,90,99.0,198,1
1,24,1,4,4,1,0,52,24,25,22,46.0,134,0
1,26,1,8,3,2,0,77,19,64,47,74.0,155,2
0,19,1,10,10,3,0,47,17,14,21,19.0,126,0
0,20,1,4,5,3,0,12,46,34,63,43.0,139,2
0,33,2,6,6,1,0,52,41,73,22,24.0,144,2
