MOD_RAZONA_CUANTITATIVO_PNAL,MOD_LECTURA_CRITICA_PNAL,MOD_COMPETEN_CIUDADA_PNAL,MOD_INGLES_PNAL,MOD_COMUNI_ESCRITA_PNAL,PUNT_GLOBAL,id_unico
59,73,72,77,70.0,167,231841
4,11,81,4,9.0,118,16282
76,42,43,54,92.0,161,62995
32,58,32,63,46.0,146,46922
95,62,30,92,84.0,175,12372
1,25,23,72,34.0,128,231210
78,24,56,58,55.0,152,30818
86,97,89,94,97.0,195,171488
71,70,29,54,83.0,160,77650
78,82,34,81,12.0,156,120958
97,77,88,74,23.0,174,29251
55,59,75,64,10.0,150,23240
13,5,1,3,2.0,93,97880
69,64,86,62,68.0,167,117104
55,99,29,9,66.0,155,166874
72,22,54,40,49.0,146,226981
51,72,50,32,77.0,155,144427
93,47,76,85,87.0,178,139309
77,96,89,72,17.0,171,114588
80,65,54,61,71.0,164,95690
89,57,87,83,40.0,170,43003
14,29,8,10,50.0,120,241761
84,27,83,43,53.0,155,30992
16,13,30,20,37.0,125,234376
16,28,6,13,1.0,93,186403
14,13,5,15,24.0,114,182440
16,69,58,24,92.0,152,36392
34,26,41,48,61.0,142,145072
16,15,24,40,10.0,121,194600
42,48,13,72,40.0,142,36418
45,68,50,46,75.0,155,192018
84,70,32,4,65.0,149,132263
43,4,2,39,3.0,110,218125
64,47,44,79,30.0,153,25668
46,5,1,2,31.0,94,151649
42,21,60,25,1.0,112,40863
74,74,76,93,1.0,144,162519
31,58,34,68,1.0,120,71687
16,25,11,14,48.0,122,147762
100,99,96,34,92.0,195,31426
77,73,92,12,73.0,164,72890
15,55,28,26,6.0,126,241083
25,67,12,16,48.0,132,39951
41,7,54,20,35.0,132,158211
42,68,72,53,61.0,156,164855
40,26,32,38,19.0,134,158002
22,32,35,12,12.0,125,110332
13,10,14,62,53.0,128,45351
63,84,61,92,78.0,174,79941
23,48,88,60,28.0,150,17823
31,60,35,64,21.0,145,224253
78,85,74,10,81.0,163,76987
73,92,56,67,40.0,164,201351
11,36,57,18,56.0,135,207230
47,65,92,58,84.0,167,19010
19,25,36,14,1.0,103,238670
91,9,40,68,35.0,149,80948
56,46,43,24,4.0,134,197422
29,19,29,20,80.0,137,145114
95,78,82,9,29.0,160,177934
17,3,20,2,1.0,87,87916
88,90,57,81,69.0,176,28758
36,49,35,47,49.0,143,16340
78,93,75,100,93.0,192,21444
17,9,28,37,28.0,126,242520
88,80,74,71,90.0,178,76880
17,85,72,13,5.0,136,49334
65,30,51,53,35.0,147,157073
46,30,17,19,15.0,127,149722
80,19,8,92,87.0,156,213662
44,98,95,82,82.0,182,153667
12,35,9,3,54.0,119,144423
98,98,97,100,93.0,222,166132
56,54,63,80,54.0,159,206809
88,66,85,61,81.0,174,95457
52,54,48,31,28.0,144,220270
6,7,13,8,40.0,113,225979
65,53,70,40,46.0,153,85828
4,14,25,50,47.0,126,75127
44,19,15,38,8.0,125,181877
36,84,68,79,27.0,159,27324
37,85,73,93,96.0,178,7574
44,85,62,86,31.0,162,17791
28,36,53,47,66.0,146,145633
100,97,91,89,36.0,190,95879
36,13,18,39,75.0,137,209423
44,12,5,39,13.0,120,230891
12,27,6,7,36.0,116,241708
8,8,2,10,4.0,99,43679
4,15,12,7,18.0,111,191160
88,63,68,64,98.0,196,152170
100,85,87,90,19.0,184,112954
94,71,72,68,70.0,174,75722
91,91,94,98,99.0,201,37770
11,38,5,37,1.0,97,141640
63,97,87,72,7.0,163,240925
80,37,39,53,44.0,150,197586
80,75,80,30,97.0,172,37180
40,85,65,61,56.0,158,45224
10,53,31,59,53.0,139,78719
15,8,49,17,7.0,119,101220
67,58,61,43,13.0,147,217394
74,85,87,80,98.0,185,173460
18,46,28,24,1.0,106,157627
16,17,27,33,55.0,129,216754
15,66,29,55,1.0,114,218471
47,25,32,59,53.0,142,189547
69,67,72,65,8.0,153,41618
50,85,61,71,100.0,175,192851
21,59,57,61,77.0,154,71347
61,15,20,53,67.0,143,86217
51,35,9,27,26.0,130,12069
54,51,28,57,46.0,146,41851
85,89,21,67,86.0,168,7557
2,13,13,47,1.0,93,190115
39,22,14,28,28.0,128,124688
56,49,52,83,54.0,157,169971
86,93,83,77,99.0,190,114072
67,91,86,67,40.0,168,33897
7,10,30,36,35.0,124,212047
52,74,54,66,61.0,158,221283
13,35,47,36,14.0,130,171371
71,58,95,86,86.0,178,64743
1,3,20,3,63.0,110,72221
64,73,51,96,64.0,170,66059
75,97,97,72,54.0,179,46925
12,22,11,93,3.0,126,116669
62,77,52,77,70.0,165,203921
7,31,48,62,2.0,127,148049
63,58,61,38,81.0,159,51857
11,12,24,20,69.0,128,84685
8,37,22,49,25.0,130,241209
57,43,65,35,83.0,156,244447
92,81,92,99,37.0,184,14696
10,39,6,92,70.0,142,121527
45,56,43,31,57.0,145,2133
98,94,88,67,24.0,178,176261
30,54,47,14,39.0,138,90808
76,45,43,10,36.0,143,198296
84,34,61,79,72.0,165,71255
38,50,45,34,38.0,142,18848
67,40,21,44,44.0,143,140933
50,85,82,79,19.0,163,151980
63,83,95,99,87.0,188,3511
2,12,17,5,75.0,119,28343
73,91,93,91,76.0,184,215381
20,32,20,21,25.0,127,58933
31,23,41,10,51.0,132,154915
49,16,38,49,16.0,136,19772
19,57,65,5,21.0,134,19050
38,10,21,20,35.0,127,50683
33,33,21,4,100.0,143,219073
18,11,23,47,21.0,127,1565
86,74,79,17,94.0,169,191959
14,12,15,37,4.0,115,2977
36,20,32,47,22.0,135,215371
91,51,86,7,46.0,155,63826
48,37,74,78,12.0,148,7060
47,26,57,54,26.0,144,74900
50,50,52,12,20.0,139,204484
